# offset relative_offset cap_id vs_cap_id value
0x0000    0 0x00 0x00 0x200505ac
0x0001    1 0x00 0x00 0x00080209
0x0002    2 0x00 0x00 0x010e0101
0x0003    3 0x00 0x00 0x80500000
0x0004    4 0x00 0x00 0x0b300000
0x0005    5 0x00 0x00 0x00004809
0x0006    6 0x00 0x00 0x00000000
0x0007    7 0x00 0x00 0x00000000
0x0008    8 0x00 0x00 0x00000000
0x0009    0 0x04 0x00 0xc0090400
0x000a    1 0x04 0x00 0x00004008
0x000b    2 0x04 0x00 0x241021c2
0x000c    3 0x04 0x00 0x00000000
0x000d    4 0x04 0x00 0x37402334
0x000e    5 0x04 0x00 0x0547a135
0x000f    6 0x04 0x00 0x00000104
0x0010    7 0x04 0x00 0xb7402134
0x0011    8 0x04 0x00 0x00000000
