# offset relative_offset cap_id vs_cap_id value
0x0000    0 0x00 0x00 0x57800000
0x0001    1 0x00 0x00 0x0008020a
0x0002    2 0x00 0x00 0x010e0102
0x0003    3 0x00 0x00 0x81300000
0x0004    4 0x00 0x00 0x40800000
0x0005    5 0x00 0x00 0x00004809
0x0006    6 0x00 0x00 0x00000000
0x0007    7 0x00 0x00 0x00000000
0x0008    8 0x00 0x00 0x00000000
0x000a    0 0x03 0x00 0x00000339
0x000b    1 0x03 0x00 0x40110005
0x000c    2 0x03 0x00 0x00000000
0x000d    3 0x03 0x00 0x00000000
0x000e    4 0x03 0x00 0xffffffff
0x000f    5 0x03 0x00 0x00000000
0x0010    6 0x03 0x00 0x800009c4
0x0011    7 0x03 0x00 0x00c80002
0x0012    8 0x03 0x00 0x00000000
0x0013    9 0x03 0x00 0x00000320
0x0039    0 0x04 0x00 0xc0090400
0x003a    1 0x04 0x00 0x00004008
0x003b    2 0x04 0x00 0x00000040
0x003c    3 0x04 0x00 0x00000000
0x003d    4 0x04 0x00 0x05c7a335
0x003e    5 0x04 0x00 0x15402334
0x003f    6 0x04 0x00 0x04000104
0x0040    7 0x04 0x00 0x05402334
0x0041    8 0x04 0x00 0x00000000
